node_id,BoroCT2010
1808,4062400
1809,4062500
1810,4062600
1811,4062700
1812,4062900
1813,4063000
1814,4063200
1815,4063301
1816,4063302
1817,4063500
1818,4063700
1819,4063800
1820,4063900
1821,4064101
1822,4064102
1823,4064500
1824,4064600
1825,4065000
1826,4065400
1827,4065501
1828,4065600
1829,4065702
1830,4065703
1831,4065900
1832,4066000
1833,4066100
1834,4066300
1835,4066400
1836,4066501
1837,4066701
1838,4066900
1839,4067100
1840,4067700
1841,4067900
1842,4068000
1843,4068200
1844,4068300
1845,4068700
1846,4069000
1847,4069300
1848,4069400
1849,4069500
1850,4069701
1851,4069702
1852,4070300
1853,4070700
1854,4070900
1855,4071100
1856,4071303
1857,4071304
1858,4071305
1859,4071306
1860,4071600
1861,4071701
1862,4071702
1863,4071900
1864,4072100
1865,4072300
1866,4072900
1867,4073100
1868,4073700
1869,4073900
1870,4074100
1871,4074300
1872,4074500
1873,4074700
1874,4074900
1875,4075701
1876,4075702
1877,4076901
1878,4076902
1879,4077300
1880,4077500
1881,4077902
1882,4077903
1883,4077904
1884,4077905
1885,4077906
1886,4077907
1887,4077908
1888,4078800
1889,4079000
1890,4079200
1891,4079300
1892,4079701
1893,4079702
1894,4079900
1895,4080301
1896,4080302
1897,4080900
1898,4081400
1899,4081800
1900,4083700
1901,4083800
1902,4084000
1903,4084500
1904,4084601
1905,4084602
1906,4084900
1907,4085300
1908,4085500
1909,4085700
1910,4085900
1911,4086100
1912,4086300
1913,4086400
1914,4086500
1915,4086900
1916,4087100
1917,4088400
1918,4088901
1919,4089200
1920,4090700
1921,4091601
1922,4091602
1923,4091800
1924,4091900
1925,4092200
1926,4092500
1927,4092800
1928,4092900
1929,4093401
1930,4093402
1931,4093800
1932,4093900
1933,4094201
1934,4094202
1935,4094203
1936,4094500
1937,4094700
1938,4095400
1939,4096400
1940,4097202
1941,4097203
1942,4097204
1943,4097300
1944,4098100
1945,4098700
1946,4099100
1947,4099200
1948,4099701
1949,4099703
1950,4099704
1951,4099705
1952,4099801
1953,4099802
1954,4099900
1955,4100801
1956,4100802
1957,4101001
1958,4101002
1959,4101700
1960,4102900
1961,4103201
1962,4103202
1963,4103300
1964,4103900
1965,4104700
1966,4105900
1967,4107201
1968,4107202
1969,4108500
1970,4109300
1971,4109700
1972,4109900
1973,4111300
1974,4112300
1975,4112900
1976,4113300
1977,4113900
1978,4114100
1979,4114700
1980,4115100
1981,4115500
1982,4115700
1983,4115900
1984,4116100
1985,4116300
1986,4116700
1987,4117100
1988,4117500
1989,4118100
1990,4118500
1991,4118700
1992,4118900
1993,4119100
1994,4119300
1995,4119500
1996,4119900
1997,4120100
1998,4120300
1999,4120500
2000,4120700
2001,4121100
2002,4121500
2003,4122300
2004,4122701
2005,4122702
2006,4124100
2007,4124700
2008,4125700
2009,4126500
2010,4126700
2011,4127700
2012,4128300
2013,4129102
2014,4129103
2015,4129104
2016,4130100
2017,4133300
2018,4133900
2019,4134100
2020,4134700
2021,4136700
2022,4137700
2023,4138501
2024,4138502
2025,4139900
2026,4140300
2027,4140901
2028,4140902
2029,4141700
2030,4142900
2031,4143500
2032,4144100
2033,4144700
2034,4145101
2035,4145102
2036,4145900
2037,4146300
2038,4146700
2039,4147100
2040,4147900
2041,4148300
2042,4150701
2043,4150702
2044,4152901
2045,4152902
2046,4155101
2047,4155102
2048,4156700
2049,4157101
2050,4157102
2051,4157901
2052,4157902
2053,4157903
2054,4161700
2055,4162100
2056,4990100
2057,5000300
2058,5000600
2059,5000700
2060,5000800
2061,5000900
2062,5001100
2063,5001700
2064,5001800
2065,5002001
2066,5002002
2067,5002100
2068,5002700
2069,5002900
2070,5003300
2071,5003600
2072,5003900
2073,5004000
2074,5004700
2075,5005000
2076,5005900
2077,5006400
2078,5006700
2079,5007000
2080,5007400
2081,5007500
2082,5007700
2083,5008100
2084,5008900
2085,5009601
2086,5009602
2087,5009700
2088,5010500
2089,5011201
2090,5011202
2091,5011401
2092,5011402
2093,5012100
2094,5012200
2095,5012500
2096,5012804
2097,5012805
2098,5012806
2099,5013201
2100,5013203
2101,5013204
2102,5013301
2103,5013302
2104,5013400
2105,5013800
2106,5014100
2107,5014604
2108,5014605
2109,5014606
2110,5014607
2111,5014608
2112,5014700
2113,5015100
2114,5015400
2115,5015601
2116,5015602
2117,5015603
2118,5016901
2119,5017005
2120,5017007
2121,5017008
2122,5017009
2123,5017010
2124,5017011
2125,5017012
2126,5017300
2127,5017600
2128,5017700
2129,5018100
2130,5018701
2131,5018702
2132,5018901
2133,5018902
